snapshot_id,source_node,target_node,edge_type,weight
1774286946,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774286946,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774286946,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774286946,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774286946,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774286946,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774286976,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774286976,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774286976,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774286976,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774286976,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774286976,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287006,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287006,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287006,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287006,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287006,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287006,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287036,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287036,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287036,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287036,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287036,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287036,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287066,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287066,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287066,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287066,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287066,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287066,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287096,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287096,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287096,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287096,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287096,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287096,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287126,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287126,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287126,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287126,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287126,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287126,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287156,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287156,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287156,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287156,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287156,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287156,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287186,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287186,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287186,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287186,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287186,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287186,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287216,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287216,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287216,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287216,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287216,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287216,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287246,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287246,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287246,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287246,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287246,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287246,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287276,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287276,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287276,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287276,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287276,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287276,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287306,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287306,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287306,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287306,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287306,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287306,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287337,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287337,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287337,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287337,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287337,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287337,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287367,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287367,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287367,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287367,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287367,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287367,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287397,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287397,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287397,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287397,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287397,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287397,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287427,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287427,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287427,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287427,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287427,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287427,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287457,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287457,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287457,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287457,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287457,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287457,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287487,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287487,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287487,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287487,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287487,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287487,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287517,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774287517,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774287517,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774287517,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774287517,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774287517,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774287547,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
